Sản phẩm,SKU,Đơn vị,Giá lẻ,Giá sỉ,KHOADL,VITA,VYQN,NAMAN,TRAMQ10,TUANTHUY,HOA,TUANH,ANHPR,GREENTECH,P50,LOYAL
Móng heo,HANGTUOI11,Kg,234.000,234.000,234.000,0,0,0,0,234.000,0,0,0,0,234.000,202.000
Gà ác lớn,HANGTUOI10,Con,276.000,276.000,276.000,0,0,0,0,276.000,0,0,0,0,276.000,256.000
Dạ trường,HANGTUOI9,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Má heo,HANGTUOI8,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Da heo,HANGTUOI7,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gù bò,HANGTUOI6,Kg,0,0,0,0,0,0,0,0,225.000,0,0,0,0,0
Xương ống lóc thịt,HANGTUOI5,Kg,0,0,0,0,0,0,0,0,85.000,0,0,0,0,0
Thăn bò,HANGTUOI4,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,350.000
Sườn già,HANGTUOI3,Kg,234.000,234.000,234.000,0,0,0,0,234.000,0,0,0,0,234.000,202.000
Lá xách (lá mía) heo,HANGTUOI2,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Đầu heo,HANGTUOI1,Kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
